"","Area","Region","YearPeriod","AVG_Percent"
"1118","Egypt","Africa","Y20042006","137"
"1119","Egypt","Africa","Y20052007","139"
"1120","Egypt","Africa","Y20062008","140"
"1121","Egypt","Africa","Y20072009","141"
"1122","Egypt","Africa","Y20082010","141"
"1123","Egypt","Africa","Y20092011","140"
"1124","Egypt","Africa","Y20102012","140"
"1125","Egypt","Africa","Y20112013","139"
"1126","Egypt","Africa","Y20122014","138"
"1127","Egypt","Africa","Y20132015","137"
"1128","Egypt","Africa","Y20142016","136"
"1129","Egypt","Africa","Y20152017","136"
"1130","Egypt","Africa","Y20162018","135"
"1131","Egypt","Africa","Y20172019","135"
"1132","Egypt","Africa","Y20182020","135"
"1133","Egypt","Africa","Y20192021","134"
"1134","Egypt","Africa","Y20202022","133"
"1135","Eswatini","Africa","Y20002002","112"
"1136","Eswatini","Africa","Y20012003","113"
"1137","Eswatini","Africa","Y20022004","116"
"1138","Eswatini","Africa","Y20032005","115"
"1139","Eswatini","Africa","Y20042006","114"
"1140","Eswatini","Africa","Y20052007","112"
"1141","Eswatini","Africa","Y20062008","111"
"1142","Eswatini","Africa","Y20072009","110"
"1143","Eswatini","Africa","Y20082010","105"
"1144","Eswatini","Africa","Y20092011","101"
"1145","Eswatini","Africa","Y20102012","98"
"1146","Eswatini","Africa","Y20112013","101"
"1147","Eswatini","Africa","Y20122014","104"
"1148","Eswatini","Africa","Y20132015","106"
"1149","Eswatini","Africa","Y20142016","106"
"1150","Eswatini","Africa","Y20152017","106"
"1151","Eswatini","Africa","Y20162018","107"
"1152","Eswatini","Africa","Y20172019","108"
"1153","Eswatini","Africa","Y20182020","109"
"1154","Eswatini","Africa","Y20192021","109"
"1155","Eswatini","Africa","Y20202022","109"
"1156","Ethiopia","Africa","Y20002002","87"
"1157","Ethiopia","Africa","Y20012003","88"
"1158","Ethiopia","Africa","Y20022004","89"
"1159","Ethiopia","Africa","Y20032005","90"
"1160","Ethiopia","Africa","Y20042006","91"
"1161","Ethiopia","Africa","Y20052007","92"
"1162","Ethiopia","Africa","Y20062008","93"
"1163","Ethiopia","Africa","Y20072009","94"
"1164","Ethiopia","Africa","Y20082010","97"
"1165","Ethiopia","Africa","Y20092011","100"
"1166","Ethiopia","Africa","Y20102012","104"
"1167","Ethiopia","Africa","Y20112013","105"
"1168","Ethiopia","Africa","Y20122014","107"
"1169","Ethiopia","Africa","Y20132015","109"
"1170","Ethiopia","Africa","Y20142016","110"
"1171","Ethiopia","Africa","Y20152017","111"
"1172","Ethiopia","Africa","Y20162018","111"
"1173","Ethiopia","Africa","Y20172019","111"
"1174","Ethiopia","Africa","Y20182020","110"
"1175","Ethiopia","Africa","Y20192021","110"
"1176","Ethiopia","Africa","Y20202022","112"
"1177","Gabon","Africa","Y20002002","120"
"1178","Gabon","Africa","Y20012003","119"
"1179","Gabon","Africa","Y20022004","118"
"1180","Gabon","Africa","Y20032005","118"
"1181","Gabon","Africa","Y20042006","119"
"1182","Gabon","Africa","Y20052007","119"
"1183","Gabon","Africa","Y20062008","117"
"1184","Gabon","Africa","Y20072009","116"
"1185","Gabon","Africa","Y20082010","114"
"1186","Gabon","Africa","Y20092011","114"
"1187","Gabon","Africa","Y20102012","114"
"1188","Gabon","Africa","Y20112013","114"
"1189","Gabon","Africa","Y20122014","114"
"1190","Gabon","Africa","Y20132015","114"
"1191","Gabon","Africa","Y20142016","113"
"1192","Gabon","Africa","Y20152017","112"
"1193","Gabon","Africa","Y20162018","111"
"1194","Gabon","Africa","Y20172019","110"
"1195","Gabon","Africa","Y20182020","109"
"1196","Gabon","Africa","Y20192021","108"
"1197","Gabon","Africa","Y20202022","108"
"1198","Gambia","Africa","Y20002002","107"
"1199","Gambia","Africa","Y20012003","105"
"1200","Gambia","Africa","Y20022004","104"
"1201","Gambia","Africa","Y20032005","104"
"1202","Gambia","Africa","Y20042006","103"
"1203","Gambia","Africa","Y20052007","104"
"1204","Gambia","Africa","Y20062008","107"
"1205","Gambia","Africa","Y20072009","110"
"1206","Gambia","Africa","Y20082010","111"
"1207","Gambia","Africa","Y20092011","112"
"1208","Gambia","Africa","Y20102012","112"
"1209","Gambia","Africa","Y20112013","112"
"1210","Gambia","Africa","Y20122014","111"
"1211","Gambia","Africa","Y20132015","109"
"1212","Gambia","Africa","Y20142016","109"
"1213","Gambia","Africa","Y20152017","108"
"1214","Gambia","Africa","Y20162018","107"
"1215","Gambia","Africa","Y20172019","106"
"1216","Gambia","Africa","Y20182020","106"
