"","Area","Region","YearPeriod","AVG_PercentFemale","AVG_PercentMale"
"181","Bosnia and Herzegovina","Europe","Y20122014","",""
"182","Bosnia and Herzegovina","Europe","Y20132015","",""
"183","Bosnia and Herzegovina","Europe","Y20142016","1.4","1.4"
"184","Bosnia and Herzegovina","Europe","Y20152017","1.4","1.4"
"185","Bosnia and Herzegovina","Europe","Y20162018","1","1"
"186","Bosnia and Herzegovina","Europe","Y20172019","1.3","1.3"
"187","Bosnia and Herzegovina","Europe","Y20182020","1.9","1.9"
"188","Bosnia and Herzegovina","Europe","Y20192021","2.7","2.7"
"189","Bosnia and Herzegovina","Europe","Y20202022","3.4","3.4"
"190","Botswana","Africa","Y20002002","",""
"191","Botswana","Africa","Y20012003","",""
"192","Botswana","Africa","Y20022004","",""
"193","Botswana","Africa","Y20032005","",""
"194","Botswana","Africa","Y20042006","",""
"195","Botswana","Africa","Y20052007","",""
"196","Botswana","Africa","Y20062008","",""
"197","Botswana","Africa","Y20072009","",""
"198","Botswana","Africa","Y20082010","",""
"199","Botswana","Africa","Y20092011","",""
"200","Botswana","Africa","Y20102012","",""
"201","Botswana","Africa","Y20112013","",""
"202","Botswana","Africa","Y20122014","",""
"203","Botswana","Africa","Y20132015","",""
"204","Botswana","Africa","Y20142016","20.6","20.6"
"205","Botswana","Africa","Y20152017","24.1","24.1"
"206","Botswana","Africa","Y20162018","25.6","25.6"
"207","Botswana","Africa","Y20172019","25.8","25.8"
"208","Botswana","Africa","Y20182020","26.5","26.5"
"209","Botswana","Africa","Y20192021","28.5","28.5"
"210","Botswana","Africa","Y20202022","28.8","28.8"
"211","Bulgaria","Europe","Y20002002","",""
"212","Bulgaria","Europe","Y20012003","",""
"213","Bulgaria","Europe","Y20022004","",""
"214","Bulgaria","Europe","Y20032005","",""
"215","Bulgaria","Europe","Y20042006","",""
"216","Bulgaria","Europe","Y20052007","",""
"217","Bulgaria","Europe","Y20062008","",""
"218","Bulgaria","Europe","Y20072009","",""
"219","Bulgaria","Europe","Y20082010","",""
"220","Bulgaria","Europe","Y20092011","",""
"221","Bulgaria","Europe","Y20102012","",""
"222","Bulgaria","Europe","Y20112013","",""
"223","Bulgaria","Europe","Y20122014","",""
"224","Bulgaria","Europe","Y20132015","",""
"225","Bulgaria","Europe","Y20142016","1.7","1.7"
"226","Bulgaria","Europe","Y20152017","2.4","2.4"
"227","Bulgaria","Europe","Y20162018","2.4","2.4"
"228","Bulgaria","Europe","Y20172019","2.3","2.3"
"229","Bulgaria","Europe","Y20182020","2.2","2.2"
"230","Bulgaria","Europe","Y20192021","3.1","3.1"
"231","Bulgaria","Europe","Y20202022","3.9","3.9"
"232","Burkina Faso","Africa","Y20002002","",""
"233","Burkina Faso","Africa","Y20012003","",""
"234","Burkina Faso","Africa","Y20022004","",""
"235","Burkina Faso","Africa","Y20032005","",""
"236","Burkina Faso","Africa","Y20042006","",""
"237","Burkina Faso","Africa","Y20052007","",""
"238","Burkina Faso","Africa","Y20062008","",""
"239","Burkina Faso","Africa","Y20072009","",""
"240","Burkina Faso","Africa","Y20082010","",""
"241","Burkina Faso","Africa","Y20092011","",""
"242","Burkina Faso","Africa","Y20102012","",""
"243","Burkina Faso","Africa","Y20112013","",""
"244","Burkina Faso","Africa","Y20122014","",""
"245","Burkina Faso","Africa","Y20132015","",""
"246","Burkina Faso","Africa","Y20142016","9.2","9.2"
"247","Burkina Faso","Africa","Y20152017","10","10"
"248","Burkina Faso","Africa","Y20162018","10.8","10.8"
"249","Burkina Faso","Africa","Y20172019","12.2","12.2"
"250","Burkina Faso","Africa","Y20182020","14.6","14.6"
"251","Burkina Faso","Africa","Y20192021","17.1","17.1"
"252","Burkina Faso","Africa","Y20202022","19.1","19.1"
"253","Burundi","Africa","Y20002002","",""
"254","Burundi","Africa","Y20012003","",""
"255","Burundi","Africa","Y20022004","",""
"256","Burundi","Africa","Y20032005","",""
"257","Burundi","Africa","Y20042006","",""
"258","Burundi","Africa","Y20052007","",""
"259","Burundi","Africa","Y20062008","",""
"260","Burundi","Africa","Y20072009","",""
